OrderID,OrderDate,Region,Product,Quantity,UnitPrice,Salesperson,Channel
ORD1000,2024-01-19,West,Widget C,3,16.18,Boris,Online
ORD1001,2024-02-21,West,Widget A,4,25.96,Anna,Online
ORD1002,2024-02-07,North,Widget A,4,28.2,Carla,Partner
ORD1003,2024-02-15,South,Widget A,4,25.49,Boris,Retail
ORD1004,2024-01-24,North,Widget B,1,39.54,Daniel,Retail
ORD1005,2024-01-23,North,Widget B,1,40.78,Boris,Retail
ORD1006,2024-04-22,West,Widget B,3,39.77,Daniel,Retail
ORD1007,2024-02-01,East,Service X,3,118.19,Anna,Online
ORD1008,2024-06-22,West,Widget A,1,25.73,Carla,Retail
ORD1009,2024-02-07,West,Widget C,4,15.67,Carla,Online
ORD1010,2024-01-16,East,Widget B,4,40.72,Carla,Online
ORD1011,2024-01-02,East,Widget A,4,26.92,Anna,Retail
ORD1012,2024-04-05,North,Widget B,3,38.38,Boris,Retail
ORD1013,2024-01-15,North,Widget B,4,39.0,Carla,Partner
ORD1014,2024-01-16,North,Widget A,4,21.68,Anna,Retail
ORD1015,2024-01-13,North,Widget A,3,25.43,Boris,Partner
ORD1016,2024-05-11,South,Widget B,3,40.12,Boris,Online
ORD1017,2024-01-17,East,Widget C,5,16.85,Daniel,Online
ORD1018,2024-02-22,South,Widget B,3,39.01,Boris,Retail
ORD1019,2024-03-19,South,Widget A,4,26.15,Anna,Retail
ORD1020,2024-01-20,West,Widget A,2,26.02,Boris,Partner
ORD1021,2024-01-30,South,Service X,5,112.61,Carla,Retail
ORD1022,2024-03-31,West,Widget C,3,15.17,Carla,Online
ORD1023,2024-04-22,West,Widget A,5,26.06,Daniel,Online
ORD1024,2024-01-16,East,Widget B,4,37.26,Boris,Retail
ORD1025,2024-06-03,South,Service X,6,115.37,Daniel,Online
ORD1026,2024-01-01,East,Widget A,5,24.84,Anna,Retail
ORD1027,2024-06-06,North,Widget A,3,25.93,Boris,Retail
ORD1028,2024-04-20,East,Widget B,4,42.11,Anna,Retail
ORD1029,2024-01-06,East,Widget B,3,40.1,Daniel,Partner
ORD1030,2024-01-29,East,Widget C,6,15.12,Boris,Online
ORD1031,2024-01-07,West,Widget C,3,14.36,Carla,Online
ORD1032,2024-01-06,East,Widget C,3,15.03,Carla,Retail
ORD1033,2024-01-06,North,Service X,2,116.09,Daniel,Online
ORD1034,2024-01-24,North,Widget A,5,24.41,Boris,Online
ORD1035,2024-01-09,West,Widget B,5,38.69,Boris,Online
ORD1036,2024-02-26,North,Widget A,1,24.7,Boris,Retail
ORD1037,2024-03-06,South,Widget B,2,43.74,Boris,Retail
ORD1038,2024-01-02,South,Widget B,4,40.4,Anna,Partner
ORD1039,2024-02-10,West,Widget C,4,14.55,Daniel,Online
ORD1040,2024-05-09,West,Widget A,2,24.39,Daniel,Online
ORD1041,2024-02-15,South,Widget A,5,25.26,Anna,Retail
ORD1042,2024-01-14,North,Widget C,6,16.16,Anna,Online
ORD1043,2024-01-19,East,Widget B,3,39.12,Daniel,Online
ORD1044,2024-04-04,North,Widget A,6,26.51,Daniel,Partner
ORD1045,2024-03-01,North,Service X,4,112.82,Anna,Online
ORD1046,2024-01-05,North,Widget C,3,14.68,Boris,Partner
ORD1047,2024-01-07,East,Widget A,7,25.25,Daniel,Online
ORD1048,2024-03-01,East,Widget B,3,39.96,Boris,Retail
ORD1049,2024-02-28,West,Widget C,4,14.78,Anna,Partner
ORD1050,2024-01-11,West,Widget A,2,25.09,Carla,Partner
ORD1051,2024-01-12,East,Widget A,2,26.23,Carla,Online
ORD1052,2024-02-09,East,Service X,1,119.33,Daniel,Online
ORD1053,2024-01-08,East,Widget B,3,41.95,Daniel,Partner
ORD1054,2024-02-17,East,Widget A,7,23.35,Daniel,Partner
ORD1055,2024-02-02,North,Widget B,6,43.66,Carla,Retail
ORD1056,2024-03-13,South,Widget B,2,40.52,Carla,Retail
ORD1057,2024-04-07,East,Widget C,4,15.23,Anna,Partner
ORD1058,2024-02-07,North,Widget C,3,15.18,Boris,Retail
ORD1059,2024-01-15,West,Service X,3,132.28,Carla,Online
ORD1060,2024-02-26,East,Widget C,2,13.7,Carla,Online
ORD1061,2024-02-21,East,Widget B,6,42.89,Anna,Online
ORD1062,2024-01-12,South,Service X,4,122.2,Daniel,Retail
ORD1063,2024-01-22,West,Widget B,5,38.12,Boris,Online
